HTML
"<ul><li style=""text-align: center;""><strong><span style=""font-size: 24px; color: rgb(184, 49, 47);"">কাজ- 11</span></strong></li><li style=""text-align: center;""><strong><span style=""font-size: 24px; color: rgb(184, 49, 47);"">গ্রুপ-06<br/></span></strong></li></ul>"
"<p><img class=""fr-fic fr-fil fr-dib"" src=""https://testmozusercontent.com/ugc/2022-11-01/eea2b875-16de-4cdb-acda-b0c98444179d-image.png""/></p><p>কোনটি সঠিক?</p>",1,one,
,<p>i ও ii</p>
*,<p>ii ও iii</p>
,<p>i ও iii</p>
,"<p>i, ii ও iii</p>"
"<p>আদর্শ গ্যাস সমূহের জন্য </p><ol style=""list-style-type: lower-roman;""><li>গাস অণু গুলোর মধ্যে আকর্ষণ থাকেনা</li><li>STP তে 1.0 মোল গ্যাসের আয়তন 22.4L</li><li>পাত্রের আয়তনের তুলনায় গ্যাস অণু সমূহের মোট আয়তন নগণ্য</li></ol><p>নিচের কোনটি সঠিক ?</p>",1,one,
,<p>i ও ii</p>
,<p>ii ও iii</p>
,<p>i ও iii</p>
*,"<p>i, ii  ও iii</p>"
END
"<ul><li style=""text-align: center;""><strong><span style=""font-size: 24px; color: rgb(184, 49, 47);"">কাজ-১১</span></strong></li><li style=""text-align: center;""><strong><span style=""font-size: 24px; color: rgb(184, 49, 47);"">গ্রুপ-৯<br/></span></strong></li></ul>"
POOL,24
<p>SATP তে 48 O<sub>2</sub> এর গতিশক্তি কত জুল?</p>,1,one,
*,<p>5.574×10<sup>3</sup></p>
,<p>3.716×10<sup>3</sup></p>
,<p>3.404×10<sup>3</sup></p>
,<p>1.115×10<sup>3</sup></p>
<p>16 g He গ্যাসের জন্যে সঠিক ভান্ডার ওয়ালস সমীকরণ কোনটি?</p>,1,one,
,<p>(P+ a/V<sup>2</sup>) (V-b)=RT</p>
*,<p>(P+ 16a/V<sup>2</sup>) (V-4b)=4RT</p>
,<p>(P+ 16a/V<sup>2</sup>) (V-4b)=RT</p>
,<p>(P+ a/V<sup>2</sup>) (V-b)=4RT</p>
"<p>একই তাপমাত্রা ও চাপে সমপরিমান (ভর) A,B,C গ্যাস পৃথকভাবে সমআয়তনে রক্ষিত আছে। এখানে M<sub>A</sub>&gt;M<sub>C </sub>&gt;M<sub>B </sub>হলে নিচের কোনটি সঠিক?</p>",1,one,
,<p>P<sub>A</sub>= P<sub>B</sub>= P<sub>C</sub></p>
,<p>P<sub>A</sub>&gt; P<sub>B</sub> &gt;P<sub>C </sub></p>
,<p>p<sub>B</sub>&lt;p<sub>c</sub>&lt;p<sub>A</sub></p>
*,<p>P<sub>B</sub>&gt;p<sub>C</sub>&gt;P<sub>A</sub></p>
<p>He এর উৎক্রম তাপমাত্রা কত?</p>,1,one,
,<p>240<sup>0</sup>C </p>
,<p>80<sup>0</sup>C </p>
,<p>-80<sup>0</sup>C </p>
*,<p>-240<sup>0</sup>C </p>
<p>V<sub>t</sub> = V<sub>0</sub>+ V<sub>0</sub>t/273 এ সমিকরণে V<sub>0</sub>t/273 কে বলা হয় </p>,1,one,
*,<p>তাপ প্রসরাংক </p>
,<p>আয়তন প্রসরাংক </p>
,<p>পরম আয়তন </p>
,<p>পরম তাপমাত্রা </p>
<p>বাস্তব গ্যাস কখন আদর্শ গ্যাসের মত আচরণ করে?</p><p><br/></p>,1,one,
,<p>0<sup>0</sup>C তাপমাত্রায় </p>
,<p>নিম্নতাপমাত্রায় </p>
,<p>কক্ষ তাপমাত্রায় </p>
*,<p>খুব উচ্চ তাপমাত্রায় </p>
<p>273K তাপমাত্রায় কোন গ্যাসের চাপ 1.0 atm হলে 1/V এর মান 0.04 L<sup>-1</sup>L হয়। এখন 1/V এর মান 0.035 L<sup>-1</sup> হলে চাপের মান কত atm?</p>,1,one,
,<p>1.875</p>
,<p>0.142</p>
*,<p>0.875</p>
,<p>0.352</p>
<p>33<sup>0</sup>C তাপমাত্রায় N<sub>2</sub> এর rms বেগ কত ms<sup>-1</sup>?</p>,1,one,
,<p>16.33</p>
,<p>51.58</p>
*,<p>522</p>
,<p>772</p>
"<p>গ্যাসের গতিশক্তি নির্ভর করে</p><ol style=""list-style-type: lower-roman;""><li>তাপমাত্রার উপর</li><li>চাপ ও আয়তনের উপর</li><li>গ্যাসের প্রকৃতির উপর </li></ol><p>নিচের কোনটি সঠিক?</p>",1,one,
*,"<p>i ,ii ও iii</p>"
,<p>i ও ii </p>
,<p>ii ও iii </p>
,<p>i ও iii </p>
<p>আমাগা বক্রের মূল ভিত্তি কোনটি?</p><p><br/></p>,1,one,
*,<p>V α 1/P </p>
,<p>V αT </p>
,<p>P α 1/√d</p>
,<p>P αT </p>
<p>0.25 মোল গ্যাস 24.63 atm চাপে 0.5 L আয়তনের পাত্রে আছে। কত তাপমাত্রায় এটি আদর্শ আচরণ করবে?</p>,1,one,
,<p>0<sup>0</sup>C </p>
,<p>25<sup>0</sup>C </p>
,<p>300K </p>
*,<p>600 K </p>
<p>CO<sub>2</sub> গ্যাসের সন্ধিচাপ বায়ুমন্ডলিয় এককে কত?</p>,1,one,
,<p>31.1</p>
*,<p>72.9</p>
,<p>76</p>
,<p>760</p>
<p>SATP তে কোন গ্যাসের মোলার আয়তন কত?</p>,1,one,
,<p>22.04 L </p>
,<p>22.4 L</p>
,<p>24.04 L </p>
*,<p>24.789 L</p>
<p>SATP তে চাপের মান কত?</p>,1,one,
,<p>100 atm </p>
,<p>100 cm </p>
,<p>100 pa </p>
*,<p>100 KPa </p>
"<p>তাপমাত্রা স্থির রাখা হয়</p><ol style=""list-style-type: lower-roman;""><li>বয়েলের সূত্রে</li><li>চার্লসের সূত্রে</li><li>আভোগ্রেডো তত্ত্বে</li></ol><p>নিচের কোনটি সঠিক?</p>",1,one,
,<p>i ও ii </p>
,<p>ii ও iii </p>
*,<p>i ও iii</p>
,"<p>I,ii ও iii</p>"
<p>25<sup>0</sup>C তাপমাত্রায় 2g He গ্যাসের গতিশক্তি কত জুল?</p>,1,one,
,<p>1658</p>
,<p>1759</p>
*,<p>1858</p>
,<p>1885</p>
<p>1.032 g O<sub>2</sub> ও 0.573g CO<sub>2</sub> গ্যাস মিশ্রণে CO<sub>2</sub> এর মোল ভগ্নাংশ কত?</p>,1,one,
,<p>0.832</p>
,<p>0.713</p>
,<p>0.357</p>
*,<p>0.287</p>
<p>SATP তে O<sub>2</sub> গ্যাসের RMS বেগ কত ms<sup>-1</sup>?</p>,1,one,
*,<p>15.24</p>
,<p>123.51</p>
,<p>461.27</p>
,<p>481.94</p>
<p>8 g He গ্যাসের জন্যে ভান্ডার ওয়ালস সমীকরণ কোনটি?</p>,1,one,
*,<p>(P+ 4a/V<sup>2</sup>)(V-2b)=2RT </p>
,<p>(P+ 2a<sup>2</sup>/V<sup>2</sup>)(V-2b)=2RT </p>
,<p>(P+ 4a/V<sup>2</sup>)(V-2b)=4RT</p>
,<p>(P+ 2a/V<sup>2</sup>)(V-2b)=2RT</p>
<p>স্থির চাপে গ্যাসের গতিবেগ ঘনত্বের </p>,1,one,
,<p>সমানুপাতিক </p>
,<p>বেস্তানুপাতিক </p>
,<p>বর্গের সমানুপাতিক </p>
*,<p>বর্গমুলের ব্যাস্তানুপাতিক </p>
<p>STP তে কোন গ্যাসের 1.0 g সবচেয়ে বেশি আয়তন দখল করবে?</p>,1,one,
*,<p>H<sub>2</sub></p>
,<p>N<sub>2</sub></p>
,<p>O<sub>2</sub></p>
,<p>Ar </p>
<p>কোন্ তাপমাত্রায় একটি অণুর গতিশক্তি শূন্য হবে?</p>,1,one,
,<p>0<sup>0</sup>C </p>
,<p>273<sup>0</sup>C </p>
*,<p>0 K </p>
,<p>273 K </p>
<p>100<sup>0</sup>C তাপমাত্রায় ও 1.0526 atm চাপে CO<sub>2</sub> গ্যাসের ঘনত্ব (g/L) কত?</p>,1,one,
,<p>0.00291</p>
,<p>0.0149</p>
*,<p>1.512</p>
,<p>1.49×10<sup>22</sup></p>
<p>কোন্ গ্যাসদ্বয়ের ব্যাপন হার সমান?</p>,1,one,
*,"<p>C<sub>2</sub>H<sub>6</sub>,NO </p>"
,"<p>CH<sub>4</sub>,NH<sub>3</sub></p>"
,"<p>NO,CO </p>"
,"<p>CO<sub>2</sub>,PH<sub>3</sub></p>"
END
"<ul><li style=""text-align: center;""><strong><span style=""font-size: 24px; color: rgb(184, 49, 47);"">কাজ- 11</span></strong></li><li style=""text-align: center;""><strong><span style=""font-size: 24px; color: rgb(184, 49, 47);"">গ্রুপ- 10<br/></span></strong></li></ul>"
POOL,30
<p>STP নিচের কোন গ্যাসের এক মি.লি এর ভর কম?</p>,1,one,
*,<p>N<sub>2</sub></p>
,<p>O<sub>2</sub></p>
,<p>CO<sub>2</sub></p>
,<p>NO<sub>2</sub></p>
<p>আদর্শ গ্যাসের ক্ষেত্রে (dE/dV)<sub>γ</sub>=?</p>,1,one,
*,<p>0</p>
,<p>0.5</p>
,<p>1</p>
,<p>1.5</p>
<p>25°C তাপমাত্রায় ২ মোল হাইড্রোজেনের গড় গতিশক্তি হবে -</p>,1,one,
,<p>3.303×10<sup>3</sup> j</p>
,<p>6.809×10<sup>3 </sup>j</p>
*,<p>7.43×10<sup>3 </sup>j</p>
,<p>6.23×10² j</p>
<p>চার্লসের সূত্র অনুসারে - </p><p><br/></p><p>নিচের কোনটি সঠিক?</p>,1,one,
,<p>i</p>
*,<p>ii</p>
,<p>i ও iii </p>
,<p>i ও ii</p>
<p>কোন গ্যাসটির ব্যাপন হার সবচেয়ে বেশি?</p>,1,one,
,<p>CO<sub>2</sub></p>
,<p>O<sub>2</sub></p>
,<p>N<sub>2</sub></p>
*,<p>H<sub>2</sub></p>
<p>লেখচিত্রটি কোন সূত্রকে সমর্থন করে?</p>,1,one,
,<p>বয়েলের সূত্র</p>
*,<p>চার্লসের সূত্র </p>
,<p>গ্রাহামের সূত্র </p>
,<p>ডাল্টনের সূত্র </p>
<p>27°C তাপমাত্রায় 4.4 g CO<sub>2</sub> গ্যাসের গড় গতিশক্তি কত?</p>,1,one,
,<p>3.69 j</p>
*,<p>374.13 j</p>
,<p>369 kj</p>
,<p>374.13 kj</p>
"<p>32 g O<sub>2 </sub>এর অর্থ হলো -</p><ol style=""list-style-type: lower-roman;""><li>1mol O<sub>2</sub></li><li>প্রমাণ অবস্থায় 24.8 L আয়তন</li><li>অভোগেড্রো সংখ্যার সমান অণু</li></ol><p>নিচের কোনটি সঠিক ?</p>",1,one,
,<p>i</p>
,<p>i ও ii </p>
*,<p>i ও iii</p>
,"<p>i,ii ও iii</p>"
<p>উদ্দীপকের স্টপ কর্ক খুলে দিলে (A+B) মিশ্রণের মোট চাপ কত হবে?</p>,1,one,
,<p>535.80 mm(Hg)</p>
*,<p>765.45 mm(Hg)</p>
,<p>612.36 mm(Hg)</p>
,<p>1148.17 mm(Hg)</p>
<p>চাপের সাথে গ্যাসের আয়তনের পরিবর্তন হয় কোনটিতে?</p>,1,one,
*,<p>বয়েলের সূত্র </p>
,<p>চার্লসের সূত্র </p>
,<p>অ্যাভোগেড্রোর সূত্র </p>
,<p>গ্রাহামের সূত্র </p>
<p>96 g O<sub>2</sub> এর জন্য আদর্শ গ্যাসের সমীকরণ কোনটি?</p>,1,one,
,<p>PV= nRT</p>
,<p>PV=RT</p>
,<p>PV=2RT</p>
*,<p>PV= 3RT</p>
<p>27°C তাপমাত্রায় 22g CO<sub>2</sub> এর গতিশক্তি কত জুল?</p>,1,one,
*,<p>1870.65</p>
,<p>168.36</p>
,<p>82.30</p>
,<p>18.47</p>
"<p>গ্যাসের ব্যাপন হার নির্ণয় করে -</p><ol style=""list-style-type: lower-roman;""><li>মোলার ভর</li><li>তাপমাত্রা</li><li>ঘনত্ব</li></ol><p>নিচের কোনটি সঠিক ?</p>",1,one,
,<p>i ও ii</p>
,<p>ii ও iii</p>
,<p>i ও iii</p>
*,"<p>i,ii ও iii</p>"
<p>25°C তাপমাত্রায় 14g N<sub>2 </sub>গ্যাসের গতিশক্তি কত হবে?</p>,1,one,
,<p>1.8588 j</p>
,<p>18.588 j</p>
,<p>185.88 j</p>
*,<p>1858.8 j</p>
<p>27°C তাপমাত্রায় O<sub>2 </sub>গ্যাসের r.m.s বেগ কত?</p>,1,one,
,<p>48.597 ms<sup>-1</sup></p>
*,<p>485.97 ms<sup>-1</sup></p>
,<p>4859.7 ms<sup>-1</sup></p>
,<p>4855.7 ms<sup>-1</sup></p>
<p>নিম্নের কোন তাপমাত্রায় গ্যাসের আয়তন শূন্য হবে?</p>,1,one,
,<p>0°C</p>
,<p>25°C</p>
,<p>272 K</p>
*,<p>-273°C</p>
<p>22g CO<sub>2</sub> এর জন্য আদর্শ গ্যাস সমীকরণ কোনটি?</p>,1,one,
*,<p>2PV=RT </p>
,<p>PV=2RT</p>
,<p>PV=22RT</p>
,<p>PV=RT</p>
<p>L.atm এ 'R' এর মান কত?</p>,1,one,
*,<p>0.0821 L atm k<sup>-1 </sup>mol<sup>-1</sup></p>
,<p>0.821 L atm k<sup>-1</sup>mol<sup>-1</sup></p>
,<p>8.314 Latm k<sup>-1 </sup>mol<sup>-1</sup></p>
,<p>8.314×10⁷ Latm mol<sup>-1</sup>k<sup>-1</sup></p>
<p>নিচের গ্যাসগুলোর মধ্যে কোনটির ব্যাপন হার সমান?</p>,1,one,
,"<p>CO<sub>2,</sub>O<sub>2</sub></p>"
*,"<p>CO<sub>2,</sub>N<sub>2</sub>O</p>"
,"<p>CO<sub>2,</sub> CO</p>"
,"<p>N<sub>2</sub>O, NO<sub>2</sub></p>"
<p>STP তে কোনো গ্যাসের আয়তন 500mL হলে 700mm (Hg) চাপে ও 25°C তাপমাত্রায় উক্ত গ্যাসের আয়তন কত হবে?</p>,1,one,
,<p>0.76 L</p>
,<p>0.66 L</p>
*,<p>0.56 L</p>
,<p>0.46 L</p>
<p>SATP তে তাপমাত্রা কত কেলভিন?</p>,1,one,
,<p>273</p>
,<p>278</p>
,<p>293</p>
*,<p>298</p>
"<p><img class=""fr-fic fr-fil fr-dib"" src=""https://testmozusercontent.com/ugc/2022-11-01/f43b7e06-0086-4086-80c7-97050d82d5c2-image.png"" style=""width: 324px;""/><br/></p><p>লেখচিত্রটি কোন সূত্রকে সমর্থন করে?</p>",1,one,
,<p>বয়েল</p>
*,<p>চার্লস </p>
,<p>অ্যাভোগেড্রো </p>
,<p>গে - লুসাক </p>
"<p>লুইস এসিড হলো - </p><ol style=""list-style-type: lower-roman;""><li>অসম্পূর্ণ অকটেট বিশিষ্ট যৌগ</li><li>কেন্দ্রীয় পরমাণুতে অপূর্ন d- অরবিটালবিশিষ্ট যৌগ</li><li>জটিল যৌগে ধনাত্মক অয়ন</li></ol><p>নিচের কোনটি সঠিক ?</p>",1,one,
,<p>i ও ii</p>
*,<p>i ও iii</p>
,<p>ii ও iii</p>
,"<p>i, ii ও iii</p>"
<p>বাংলাদেশে মিঠাপানির উৎস কোনটি?</p>,1,one,
,<p>সমুদ্রের পানি </p>
*,<p>ভূগর্ভস্থ পানি </p>
,<p>নদীর পানি</p>
,<p>পুকুরের পানি </p>
<p>নিচের কোনটি সেকেন্ডারি দূষক?</p>,1,one,
,<p>CO<sub>2</sub></p>
,<p>CO</p>
,<p>SO<sub>2</sub></p>
*,<p>O<sub>2</sub></p>
<p>NO<sub>2</sub><sup>- </sup>এর অনুবন্ধি এসিড কোনটি?</p>,1,one,
,<p>HNO<sub>3</sub></p>
*,<p>HNO<sub>2</sub></p>
,<p>HNO<sub>2</sub><sup>-</sup></p>
,<p>NO<sub>3</sub><sup>-</sup></p>
<p>ইটভাটায় জ্বালানির অসম্পূর্ণ দহনে নিচের কোন গ্যাসটি উৎপন্ন হয়?</p>,1,one,
,<p>CO<sub>2</sub></p>
*,<p>CO</p>
,<p>SO<sub>2</sub></p>
,<p>NH<sub>3</sub></p>
<p>একটি পানির নমুনায় দ্রবীভূত O<sub>2</sub> এর ঘনমাত্রা 2.0×10<sup>-4</sup> M. ppm এককে এর মান কত?</p>,1,one,
,<p>2.0</p>
,<p>2.5</p>
,<p>4.4</p>
*,<p>6.4</p>
"<p>NH<sub>3</sub> ক্ষারধর্মী । কারণ এটি - </p><ol style=""list-style-type: lower-roman;""><li>জোড়া ইলেকট্রন দাতা</li><li>এসিডের সাথে বিক্রিয়া করে </li><li>প্রোটন গ্রহীতা </li></ol><p>নিচের কোনটি সঠিক ?</p>",1,one,
,<p>i ও ii</p>
,<p>i ও iii</p>
*,<p>ii ও iii</p>
,"<p>i, ii ও iii</p>"
<p>CO এর সহনীয় মাত্রা কত?</p>,1,one,
*,<p>40 ppm</p>
,<p>100 ppm</p>
,<p>500 ppm</p>
,<p>1000 ppm</p>
END
